Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Washington,Florida,0,0,US
2020-01-23,Washington,Florida,0,0,US
2020-01-24,Washington,Florida,0,0,US
2020-01-25,Washington,Florida,0,0,US
2020-01-26,Washington,Florida,0,0,US
2020-01-27,Washington,Florida,0,0,US
2020-01-28,Washington,Florida,0,0,US
2020-01-29,Washington,Florida,0,0,US
2020-01-30,Washington,Florida,0,0,US
2020-01-31,Washington,Florida,0,0,US
2020-02-01,Washington,Florida,0,0,US
2020-02-02,Washington,Florida,0,0,US
2020-02-03,Washington,Florida,0,0,US
2020-02-04,Washington,Florida,0,0,US
2020-02-05,Washington,Florida,0,0,US
2020-02-06,Washington,Florida,0,0,US
2020-02-07,Washington,Florida,0,0,US
2020-02-08,Washington,Florida,0,0,US
2020-02-09,Washington,Florida,0,0,US
2020-02-10,Washington,Florida,0,0,US
2020-02-11,Washington,Florida,0,0,US
2020-02-12,Washington,Florida,0,0,US
2020-02-13,Washington,Florida,0,0,US
2020-02-14,Washington,Florida,0,0,US
2020-02-15,Washington,Florida,0,0,US
2020-02-16,Washington,Florida,0,0,US
2020-02-17,Washington,Florida,0,0,US
2020-02-18,Washington,Florida,0,0,US
2020-02-19,Washington,Florida,0,0,US
2020-02-20,Washington,Florida,0,0,US
2020-02-21,Washington,Florida,0,0,US
2020-02-22,Washington,Florida,0,0,US
2020-02-23,Washington,Florida,0,0,US
2020-02-24,Washington,Florida,0,0,US
2020-02-25,Washington,Florida,0,0,US
2020-02-26,Washington,Florida,0,0,US
2020-02-27,Washington,Florida,0,0,US
2020-02-28,Washington,Florida,0,0,US
2020-02-29,Washington,Florida,0,0,US
2020-03-01,Washington,Florida,0,0,US
2020-03-02,Washington,Florida,0,0,US
2020-03-03,Washington,Florida,0,0,US
2020-03-04,Washington,Florida,0,0,US
2020-03-05,Washington,Florida,0,0,US
2020-03-06,Washington,Florida,0,0,US
2020-03-07,Washington,Florida,0,0,US
2020-03-08,Washington,Florida,0,0,US
2020-03-09,Washington,Florida,0,0,US
2020-03-10,Washington,Florida,0,0,US
2020-03-11,Washington,Florida,0,0,US
2020-03-12,Washington,Florida,0,0,US
2020-03-13,Washington,Florida,0,0,US
2020-03-14,Washington,Florida,0,0,US
2020-03-15,Washington,Florida,0,0,US
2020-03-16,Washington,Florida,0,0,US
2020-03-17,Washington,Florida,0,0,US
2020-03-18,Washington,Florida,0,0,US
2020-03-19,Washington,Florida,0,0,US
2020-03-20,Washington,Florida,0,0,US
2020-03-21,Washington,Florida,0,0,US
2020-03-22,Washington,Florida,0,0,US
2020-03-23,Washington,Florida,0,0,US
2020-03-24,Washington,Florida,0,0,US
2020-03-25,Washington,Florida,0,0,US
2020-03-26,Washington,Florida,0,0,US
2020-03-27,Washington,Florida,1,0,US
2020-03-28,Washington,Florida,1,0,US
2020-03-29,Washington,Florida,1,0,US
2020-03-30,Washington,Florida,1,0,US
2020-03-31,Washington,Florida,1,0,US
2020-04-01,Washington,Florida,1,0,US
2020-04-02,Washington,Florida,1,0,US
2020-04-03,Washington,Florida,1,0,US
2020-04-04,Washington,Florida,1,0,US
2020-04-05,Washington,Florida,1,0,US
2020-04-06,Washington,Florida,1,0,US
2020-04-07,Washington,Florida,2,0,US
2020-04-08,Washington,Florida,2,0,US
2020-04-09,Washington,Florida,3,0,US
2020-04-10,Washington,Florida,3,0,US
2020-04-11,Washington,Florida,3,0,US
2020-04-12,Washington,Florida,4,0,US
2020-04-13,Washington,Florida,4,0,US
2020-04-14,Washington,Florida,5,0,US
2020-04-15,Washington,Florida,5,0,US
2020-04-16,Washington,Florida,5,0,US
2020-04-17,Washington,Florida,6,0,US
2020-04-18,Washington,Florida,5,0,US
