Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Valley,Nebraska,0,0,US
2020-01-23,Valley,Nebraska,0,0,US
2020-01-24,Valley,Nebraska,0,0,US
2020-01-25,Valley,Nebraska,0,0,US
2020-01-26,Valley,Nebraska,0,0,US
2020-01-27,Valley,Nebraska,0,0,US
2020-01-28,Valley,Nebraska,0,0,US
2020-01-29,Valley,Nebraska,0,0,US
2020-01-30,Valley,Nebraska,0,0,US
2020-01-31,Valley,Nebraska,0,0,US
2020-02-01,Valley,Nebraska,0,0,US
2020-02-02,Valley,Nebraska,0,0,US
2020-02-03,Valley,Nebraska,0,0,US
2020-02-04,Valley,Nebraska,0,0,US
2020-02-05,Valley,Nebraska,0,0,US
2020-02-06,Valley,Nebraska,0,0,US
2020-02-07,Valley,Nebraska,0,0,US
2020-02-08,Valley,Nebraska,0,0,US
2020-02-09,Valley,Nebraska,0,0,US
2020-02-10,Valley,Nebraska,0,0,US
2020-02-11,Valley,Nebraska,0,0,US
2020-02-12,Valley,Nebraska,0,0,US
2020-02-13,Valley,Nebraska,0,0,US
2020-02-14,Valley,Nebraska,0,0,US
2020-02-15,Valley,Nebraska,0,0,US
2020-02-16,Valley,Nebraska,0,0,US
2020-02-17,Valley,Nebraska,0,0,US
2020-02-18,Valley,Nebraska,0,0,US
2020-02-19,Valley,Nebraska,0,0,US
2020-02-20,Valley,Nebraska,0,0,US
2020-02-21,Valley,Nebraska,0,0,US
2020-02-22,Valley,Nebraska,0,0,US
2020-02-23,Valley,Nebraska,0,0,US
2020-02-24,Valley,Nebraska,0,0,US
2020-02-25,Valley,Nebraska,0,0,US
2020-02-26,Valley,Nebraska,0,0,US
2020-02-27,Valley,Nebraska,0,0,US
2020-02-28,Valley,Nebraska,0,0,US
2020-02-29,Valley,Nebraska,0,0,US
2020-03-01,Valley,Nebraska,0,0,US
2020-03-02,Valley,Nebraska,0,0,US
2020-03-03,Valley,Nebraska,0,0,US
2020-03-04,Valley,Nebraska,0,0,US
2020-03-05,Valley,Nebraska,0,0,US
2020-03-06,Valley,Nebraska,0,0,US
2020-03-07,Valley,Nebraska,0,0,US
2020-03-08,Valley,Nebraska,0,0,US
2020-03-09,Valley,Nebraska,0,0,US
2020-03-10,Valley,Nebraska,0,0,US
2020-03-11,Valley,Nebraska,0,0,US
2020-03-12,Valley,Nebraska,0,0,US
2020-03-13,Valley,Nebraska,0,0,US
2020-03-14,Valley,Nebraska,0,0,US
2020-03-15,Valley,Nebraska,0,0,US
2020-03-16,Valley,Nebraska,0,0,US
2020-03-17,Valley,Nebraska,0,0,US
2020-03-18,Valley,Nebraska,0,0,US
2020-03-19,Valley,Nebraska,0,0,US
2020-03-20,Valley,Nebraska,0,0,US
2020-03-21,Valley,Nebraska,0,0,US
2020-03-22,Valley,Nebraska,0,0,US
2020-03-23,Valley,Nebraska,0,0,US
2020-03-24,Valley,Nebraska,0,0,US
2020-03-25,Valley,Nebraska,0,0,US
2020-03-26,Valley,Nebraska,0,0,US
2020-03-27,Valley,Nebraska,0,0,US
2020-03-28,Valley,Nebraska,0,0,US
2020-03-29,Valley,Nebraska,0,0,US
2020-03-30,Valley,Nebraska,0,0,US
2020-03-31,Valley,Nebraska,0,0,US
2020-04-01,Valley,Nebraska,0,0,US
2020-04-02,Valley,Nebraska,0,0,US
2020-04-03,Valley,Nebraska,0,0,US
2020-04-04,Valley,Nebraska,0,0,US
2020-04-05,Valley,Nebraska,0,0,US
