Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-02-24,Douglas,Missouri,0,0,US
2020-02-25,Douglas,Missouri,0,0,US
2020-02-26,Douglas,Missouri,0,0,US
2020-02-27,Douglas,Missouri,0,0,US
2020-02-28,Douglas,Missouri,0,0,US
2020-02-29,Douglas,Missouri,0,0,US
2020-03-01,Douglas,Missouri,0,0,US
2020-03-02,Douglas,Missouri,0,0,US
2020-03-03,Douglas,Missouri,0,0,US
2020-03-04,Douglas,Missouri,0,0,US
2020-03-05,Douglas,Missouri,0,0,US
2020-03-06,Douglas,Missouri,0,0,US
2020-03-07,Douglas,Missouri,0,0,US
2020-03-08,Douglas,Missouri,0,0,US
2020-03-09,Douglas,Missouri,0,0,US
2020-03-10,Douglas,Missouri,0,0,US
2020-03-11,Douglas,Missouri,0,0,US
2020-03-12,Douglas,Missouri,0,0,US
2020-03-13,Douglas,Missouri,0,0,US
2020-03-14,Douglas,Missouri,0,0,US
2020-03-15,Douglas,Missouri,0,0,US
2020-03-16,Douglas,Missouri,0,0,US
2020-03-17,Douglas,Missouri,0,0,US
2020-03-18,Douglas,Missouri,0,0,US
2020-03-19,Douglas,Missouri,0,0,US
2020-03-20,Douglas,Missouri,0,0,US
2020-03-21,Douglas,Missouri,0,0,US
2020-03-22,Douglas,Missouri,0,0,US
2020-03-23,Douglas,Missouri,0,0,US
2020-03-24,Douglas,Missouri,0,0,US
2020-03-25,Douglas,Missouri,0,0,US
2020-03-26,Douglas,Missouri,0,0,US
2020-03-27,Douglas,Missouri,0,0,US
