Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,San Patricio,Texas,0,0,US
2020-01-23,San Patricio,Texas,0,0,US
2020-01-24,San Patricio,Texas,0,0,US
2020-01-25,San Patricio,Texas,0,0,US
2020-01-26,San Patricio,Texas,0,0,US
2020-01-27,San Patricio,Texas,0,0,US
2020-01-28,San Patricio,Texas,0,0,US
2020-01-29,San Patricio,Texas,0,0,US
2020-01-30,San Patricio,Texas,0,0,US
2020-01-31,San Patricio,Texas,0,0,US
2020-02-01,San Patricio,Texas,0,0,US
2020-02-02,San Patricio,Texas,0,0,US
2020-02-03,San Patricio,Texas,0,0,US
2020-02-04,San Patricio,Texas,0,0,US
2020-02-05,San Patricio,Texas,0,0,US
2020-02-06,San Patricio,Texas,0,0,US
2020-02-07,San Patricio,Texas,0,0,US
2020-02-08,San Patricio,Texas,0,0,US
2020-02-09,San Patricio,Texas,0,0,US
2020-02-10,San Patricio,Texas,0,0,US
2020-02-11,San Patricio,Texas,0,0,US
2020-02-12,San Patricio,Texas,0,0,US
2020-02-13,San Patricio,Texas,0,0,US
2020-02-14,San Patricio,Texas,0,0,US
2020-02-15,San Patricio,Texas,0,0,US
2020-02-16,San Patricio,Texas,0,0,US
2020-02-17,San Patricio,Texas,0,0,US
2020-02-18,San Patricio,Texas,0,0,US
2020-02-19,San Patricio,Texas,0,0,US
2020-02-20,San Patricio,Texas,0,0,US
2020-02-21,San Patricio,Texas,0,0,US
2020-02-22,San Patricio,Texas,0,0,US
2020-02-23,San Patricio,Texas,0,0,US
2020-02-24,San Patricio,Texas,0,0,US
2020-02-25,San Patricio,Texas,0,0,US
2020-02-26,San Patricio,Texas,0,0,US
2020-02-27,San Patricio,Texas,0,0,US
2020-02-28,San Patricio,Texas,0,0,US
2020-02-29,San Patricio,Texas,0,0,US
2020-03-01,San Patricio,Texas,0,0,US
2020-03-02,San Patricio,Texas,0,0,US
2020-03-03,San Patricio,Texas,0,0,US
2020-03-04,San Patricio,Texas,0,0,US
2020-03-05,San Patricio,Texas,0,0,US
2020-03-06,San Patricio,Texas,0,0,US
2020-03-07,San Patricio,Texas,0,0,US
2020-03-08,San Patricio,Texas,0,0,US
2020-03-09,San Patricio,Texas,0,0,US
2020-03-10,San Patricio,Texas,0,0,US
2020-03-11,San Patricio,Texas,0,0,US
2020-03-12,San Patricio,Texas,0,0,US
2020-03-13,San Patricio,Texas,0,0,US
2020-03-14,San Patricio,Texas,0,0,US
2020-03-15,San Patricio,Texas,0,0,US
2020-03-16,San Patricio,Texas,0,0,US
2020-03-17,San Patricio,Texas,0,0,US
2020-03-18,San Patricio,Texas,0,0,US
2020-03-19,San Patricio,Texas,0,0,US
2020-03-20,San Patricio,Texas,0,0,US
2020-03-21,San Patricio,Texas,0,0,US
2020-03-22,San Patricio,Texas,0,0,US
2020-03-23,San Patricio,Texas,0,0,US
2020-03-24,San Patricio,Texas,0,0,US
2020-03-25,San Patricio,Texas,1,0,US
2020-03-26,San Patricio,Texas,2,0,US
2020-03-27,San Patricio,Texas,2,0,US
2020-03-28,San Patricio,Texas,2,0,US
2020-03-29,San Patricio,Texas,2,0,US
2020-03-30,San Patricio,Texas,2,0,US
2020-03-31,San Patricio,Texas,2,0,US
2020-04-01,San Patricio,Texas,5,0,US
2020-04-02,San Patricio,Texas,7,0,US
2020-04-03,San Patricio,Texas,9,0,US
2020-04-04,San Patricio,Texas,9,0,US
2020-04-05,San Patricio,Texas,11,0,US
2020-04-06,San Patricio,Texas,12,0,US
2020-04-07,San Patricio,Texas,12,0,US
2020-04-08,San Patricio,Texas,12,0,US
2020-04-09,San Patricio,Texas,12,0,US
2020-04-10,San Patricio,Texas,12,0,US
2020-04-11,San Patricio,Texas,13,0,US
2020-04-12,San Patricio,Texas,16,0,US
2020-04-13,San Patricio,Texas,18,0,US
2020-04-14,San Patricio,Texas,18,0,US
2020-04-15,San Patricio,Texas,18,0,US
2020-04-16,San Patricio,Texas,18,0,US
2020-04-17,San Patricio,Texas,19,0,US
2020-04-18,San Patricio,Texas,19,0,US
2020-04-19,San Patricio,Texas,19,0,US
2020-04-20,San Patricio,Texas,19,0,US
2020-04-21,San Patricio,Texas,19,0,US
2020-04-22,San Patricio,Texas,19,0,US
2020-04-23,San Patricio,Texas,19,0,US
2020-04-24,San Patricio,Texas,19,0,US
2020-04-25,San Patricio,Texas,19,0,US
2020-04-26,San Patricio,Texas,19,0,US
2020-04-27,San Patricio,Texas,19,0,US
2020-04-28,San Patricio,Texas,19,0,US
2020-04-29,San Patricio,Texas,19,0,US
2020-04-30,San Patricio,Texas,19,0,US
2020-05-01,San Patricio,Texas,19,0,US
2020-05-02,San Patricio,Texas,20,0,US
2020-05-03,San Patricio,Texas,21,0,US
2020-05-04,San Patricio,Texas,24,0,US
2020-05-05,San Patricio,Texas,24,0,US
2020-05-06,San Patricio,Texas,24,0,US
2020-05-07,San Patricio,Texas,26,0,US
2020-05-08,San Patricio,Texas,27,0,US
2020-05-09,San Patricio,Texas,30,0,US
2020-05-10,San Patricio,Texas,30,0,US
2020-05-11,San Patricio,Texas,30,0,US
2020-05-12,San Patricio,Texas,33,0,US
2020-05-13,San Patricio,Texas,33,0,US
2020-05-14,San Patricio,Texas,34,0,US
2020-05-15,San Patricio,Texas,34,0,US
2020-05-16,San Patricio,Texas,34,0,US
2020-05-17,San Patricio,Texas,34,0,US
2020-05-18,San Patricio,Texas,34,0,US
2020-05-19,San Patricio,Texas,36,0,US
2020-05-20,San Patricio,Texas,38,0,US
2020-05-21,San Patricio,Texas,38,0,US
2020-05-22,San Patricio,Texas,39,0,US
2020-05-23,San Patricio,Texas,40,0,US
2020-05-24,San Patricio,Texas,40,0,US
2020-05-25,San Patricio,Texas,41,0,US
2020-05-26,San Patricio,Texas,43,0,US
2020-05-27,San Patricio,Texas,44,0,US
2020-05-28,San Patricio,Texas,44,0,US
2020-05-29,San Patricio,Texas,44,0,US
2020-05-30,San Patricio,Texas,44,0,US
2020-05-31,San Patricio,Texas,44,0,US
2020-06-01,San Patricio,Texas,44,0,US
2020-06-02,San Patricio,Texas,46,0,US
2020-06-03,San Patricio,Texas,46,0,US
2020-06-04,San Patricio,Texas,47,0,US
2020-06-05,San Patricio,Texas,47,0,US
2020-06-06,San Patricio,Texas,47,0,US
2020-06-07,San Patricio,Texas,50,0,US
2020-06-08,San Patricio,Texas,52,0,US
2020-06-09,San Patricio,Texas,54,0,US
2020-06-10,San Patricio,Texas,60,0,US
2020-06-11,San Patricio,Texas,64,0,US
2020-06-12,San Patricio,Texas,71,0,US
2020-06-13,San Patricio,Texas,72,0,US
2020-06-14,San Patricio,Texas,73,0,US
2020-06-15,San Patricio,Texas,76,0,US
2020-06-16,San Patricio,Texas,81,0,US
2020-06-17,San Patricio,Texas,88,0,US
2020-06-18,San Patricio,Texas,95,0,US
2020-06-19,San Patricio,Texas,107,0,US
2020-06-20,San Patricio,Texas,113,0,US
2020-06-21,San Patricio,Texas,119,0,US
2020-06-22,San Patricio,Texas,130,0,US
2020-06-23,San Patricio,Texas,151,0,US
2020-06-24,San Patricio,Texas,183,0,US
2020-06-25,San Patricio,Texas,202,0,US
2020-06-26,San Patricio,Texas,225,0,US
2020-06-27,San Patricio,Texas,241,0,US
2020-06-28,San Patricio,Texas,277,0,US
2020-06-29,San Patricio,Texas,309,0,US
2020-06-30,San Patricio,Texas,325,0,US
2020-07-01,San Patricio,Texas,342,0,US
2020-07-02,San Patricio,Texas,366,0,US
2020-07-03,San Patricio,Texas,376,0,US
2020-07-04,San Patricio,Texas,381,0,US
2020-07-05,San Patricio,Texas,385,0,US
2020-07-06,San Patricio,Texas,415,0,US
2020-07-07,San Patricio,Texas,444,0,US
2020-07-08,San Patricio,Texas,476,0,US
2020-07-09,San Patricio,Texas,504,0,US
2020-07-10,San Patricio,Texas,569,0,US
2020-07-11,San Patricio,Texas,588,0,US
2020-07-12,San Patricio,Texas,603,0,US
2020-07-13,San Patricio,Texas,625,0,US
2020-07-14,San Patricio,Texas,687,0,US
2020-07-15,San Patricio,Texas,755,0,US
2020-07-16,San Patricio,Texas,820,0,US
2020-07-17,San Patricio,Texas,839,0,US
2020-07-18,San Patricio,Texas,854,0,US
2020-07-19,San Patricio,Texas,863,0,US
2020-07-20,San Patricio,Texas,890,0,US
2020-07-21,San Patricio,Texas,912,0,US
2020-07-22,San Patricio,Texas,929,0,US
2020-07-23,San Patricio,Texas,947,0,US
2020-07-24,San Patricio,Texas,976,0,US
2020-07-25,San Patricio,Texas,980,0,US
2020-07-26,San Patricio,Texas,987,0,US
2020-07-27,San Patricio,Texas,1010,14,US
2020-07-28,San Patricio,Texas,1041,14,US
2020-07-29,San Patricio,Texas,1064,15,US
2020-07-30,San Patricio,Texas,1083,15,US
2020-07-31,San Patricio,Texas,1119,15,US
2020-08-01,San Patricio,Texas,1133,16,US
2020-08-02,San Patricio,Texas,1159,16,US
2020-08-03,San Patricio,Texas,1166,16,US
2020-08-04,San Patricio,Texas,1201,17,US
2020-08-05,San Patricio,Texas,1221,19,US
2020-08-06,San Patricio,Texas,1263,20,US
2020-08-07,San Patricio,Texas,1284,22,US
2020-08-08,San Patricio,Texas,1325,23,US
2020-08-09,San Patricio,Texas,1342,26,US
2020-08-10,San Patricio,Texas,1368,26,US
2020-08-11,San Patricio,Texas,1392,30,US
2020-08-12,San Patricio,Texas,1410,31,US
2020-08-13,San Patricio,Texas,1419,33,US
2020-08-14,San Patricio,Texas,1430,34,US
2020-08-15,San Patricio,Texas,1445,34,US
2020-08-16,San Patricio,Texas,1448,34,US
2020-08-17,San Patricio,Texas,1464,35,US
2020-08-18,San Patricio,Texas,1468,41,US
2020-08-19,San Patricio,Texas,1472,44,US
2020-08-20,San Patricio,Texas,1477,48,US
2020-08-21,San Patricio,Texas,1483,50,US
2020-08-22,San Patricio,Texas,1493,52,US
2020-08-23,San Patricio,Texas,1504,52,US
2020-08-24,San Patricio,Texas,1504,52,US
2020-08-25,San Patricio,Texas,1506,52,US
2020-08-26,San Patricio,Texas,1510,52,US
2020-08-27,San Patricio,Texas,1515,57,US
2020-08-28,San Patricio,Texas,1527,58,US
2020-08-29,San Patricio,Texas,1544,59,US
2020-08-30,San Patricio,Texas,1544,59,US
2020-08-31,San Patricio,Texas,1545,59,US
2020-09-01,San Patricio,Texas,1552,60,US
2020-09-02,San Patricio,Texas,1552,60,US
2020-09-03,San Patricio,Texas,1562,60,US
2020-09-04,San Patricio,Texas,1569,60,US
2020-09-05,San Patricio,Texas,1572,61,US
2020-09-06,San Patricio,Texas,1574,62,US
2020-09-07,San Patricio,Texas,1578,61,US
2020-09-08,San Patricio,Texas,1581,62,US
2020-09-09,San Patricio,Texas,1584,62,US
2020-09-10,San Patricio,Texas,1595,62,US
2020-09-11,San Patricio,Texas,1597,64,US
2020-09-12,San Patricio,Texas,1598,64,US
2020-09-13,San Patricio,Texas,1604,64,US
