Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Hale,Alabama,0,0,US
2020-01-23,Hale,Alabama,0,0,US
2020-01-24,Hale,Alabama,0,0,US
2020-01-25,Hale,Alabama,0,0,US
2020-01-26,Hale,Alabama,0,0,US
2020-01-27,Hale,Alabama,0,0,US
2020-01-28,Hale,Alabama,0,0,US
2020-01-29,Hale,Alabama,0,0,US
2020-01-30,Hale,Alabama,0,0,US
2020-01-31,Hale,Alabama,0,0,US
2020-02-01,Hale,Alabama,0,0,US
2020-02-02,Hale,Alabama,0,0,US
2020-02-03,Hale,Alabama,0,0,US
2020-02-04,Hale,Alabama,0,0,US
2020-02-05,Hale,Alabama,0,0,US
2020-02-06,Hale,Alabama,0,0,US
2020-02-07,Hale,Alabama,0,0,US
2020-02-08,Hale,Alabama,0,0,US
2020-02-09,Hale,Alabama,0,0,US
2020-02-10,Hale,Alabama,0,0,US
2020-02-11,Hale,Alabama,0,0,US
2020-02-12,Hale,Alabama,0,0,US
2020-02-13,Hale,Alabama,0,0,US
2020-02-14,Hale,Alabama,0,0,US
2020-02-15,Hale,Alabama,0,0,US
2020-02-16,Hale,Alabama,0,0,US
2020-02-17,Hale,Alabama,0,0,US
2020-02-18,Hale,Alabama,0,0,US
2020-02-19,Hale,Alabama,0,0,US
2020-02-20,Hale,Alabama,0,0,US
2020-02-21,Hale,Alabama,0,0,US
2020-02-22,Hale,Alabama,0,0,US
2020-02-23,Hale,Alabama,0,0,US
2020-02-24,Hale,Alabama,0,0,US
2020-02-25,Hale,Alabama,0,0,US
2020-02-26,Hale,Alabama,0,0,US
2020-02-27,Hale,Alabama,0,0,US
2020-02-28,Hale,Alabama,0,0,US
2020-02-29,Hale,Alabama,0,0,US
2020-03-01,Hale,Alabama,0,0,US
2020-03-02,Hale,Alabama,0,0,US
2020-03-03,Hale,Alabama,0,0,US
2020-03-04,Hale,Alabama,0,0,US
2020-03-05,Hale,Alabama,0,0,US
2020-03-06,Hale,Alabama,0,0,US
2020-03-07,Hale,Alabama,0,0,US
2020-03-08,Hale,Alabama,0,0,US
2020-03-09,Hale,Alabama,0,0,US
2020-03-10,Hale,Alabama,0,0,US
2020-03-11,Hale,Alabama,0,0,US
2020-03-12,Hale,Alabama,0,0,US
2020-03-13,Hale,Alabama,0,0,US
2020-03-14,Hale,Alabama,0,0,US
2020-03-15,Hale,Alabama,0,0,US
2020-03-16,Hale,Alabama,0,0,US
2020-03-17,Hale,Alabama,0,0,US
2020-03-18,Hale,Alabama,0,0,US
2020-03-19,Hale,Alabama,0,0,US
2020-03-20,Hale,Alabama,0,0,US
2020-03-21,Hale,Alabama,0,0,US
2020-03-22,Hale,Alabama,0,0,US
2020-03-23,Hale,Alabama,0,0,US
2020-03-24,Hale,Alabama,0,0,US
2020-03-25,Hale,Alabama,0,0,US
2020-03-26,Hale,Alabama,0,0,US
2020-03-27,Hale,Alabama,0,0,US
2020-03-28,Hale,Alabama,0,0,US
2020-03-29,Hale,Alabama,0,0,US
2020-03-30,Hale,Alabama,1,0,US
2020-03-31,Hale,Alabama,1,0,US
2020-04-01,Hale,Alabama,1,0,US
2020-04-02,Hale,Alabama,3,0,US
2020-04-03,Hale,Alabama,3,0,US
2020-04-04,Hale,Alabama,3,0,US
2020-04-05,Hale,Alabama,3,0,US
2020-04-06,Hale,Alabama,5,0,US
2020-04-07,Hale,Alabama,7,0,US
2020-04-08,Hale,Alabama,7,0,US
2020-04-09,Hale,Alabama,7,0,US
2020-04-10,Hale,Alabama,7,0,US
2020-04-11,Hale,Alabama,11,0,US
2020-04-12,Hale,Alabama,15,0,US
2020-04-13,Hale,Alabama,15,0,US
2020-04-14,Hale,Alabama,17,0,US
2020-04-15,Hale,Alabama,22,0,US
2020-04-16,Hale,Alabama,23,0,US
2020-04-17,Hale,Alabama,23,0,US
2020-04-18,Hale,Alabama,24,1,US
2020-04-19,Hale,Alabama,29,1,US
2020-04-20,Hale,Alabama,31,1,US
2020-04-21,Hale,Alabama,33,1,US
2020-04-22,Hale,Alabama,35,1,US
2020-04-23,Hale,Alabama,39,1,US
2020-04-24,Hale,Alabama,41,2,US
2020-04-25,Hale,Alabama,41,2,US
2020-04-26,Hale,Alabama,43,2,US
2020-04-27,Hale,Alabama,43,2,US
2020-04-28,Hale,Alabama,43,2,US
2020-04-29,Hale,Alabama,45,2,US
2020-04-30,Hale,Alabama,49,2,US
2020-05-01,Hale,Alabama,53,2,US
2020-05-02,Hale,Alabama,55,2,US
2020-05-03,Hale,Alabama,55,2,US
2020-05-04,Hale,Alabama,57,2,US
2020-05-05,Hale,Alabama,60,2,US
2020-05-06,Hale,Alabama,61,2,US
2020-05-07,Hale,Alabama,63,2,US
2020-05-08,Hale,Alabama,63,2,US
2020-05-09,Hale,Alabama,67,2,US
2020-05-10,Hale,Alabama,70,2,US
2020-05-11,Hale,Alabama,73,2,US
2020-05-12,Hale,Alabama,75,2,US
2020-05-13,Hale,Alabama,75,2,US
2020-05-14,Hale,Alabama,80,2,US
2020-05-15,Hale,Alabama,80,2,US
2020-05-16,Hale,Alabama,85,2,US
2020-05-17,Hale,Alabama,92,2,US
2020-05-18,Hale,Alabama,96,2,US
2020-05-19,Hale,Alabama,105,2,US
2020-05-20,Hale,Alabama,107,2,US
2020-05-21,Hale,Alabama,112,3,US
2020-05-22,Hale,Alabama,122,3,US
2020-05-23,Hale,Alabama,127,3,US
2020-05-24,Hale,Alabama,132,3,US
2020-05-25,Hale,Alabama,137,4,US
2020-05-26,Hale,Alabama,139,4,US
2020-05-27,Hale,Alabama,145,6,US
2020-05-28,Hale,Alabama,153,7,US
2020-05-29,Hale,Alabama,159,8,US
2020-05-30,Hale,Alabama,162,8,US
2020-05-31,Hale,Alabama,177,9,US
2020-06-01,Hale,Alabama,180,9,US
2020-06-02,Hale,Alabama,181,9,US
2020-06-03,Hale,Alabama,187,9,US
2020-06-04,Hale,Alabama,194,9,US
2020-06-05,Hale,Alabama,197,10,US
2020-06-06,Hale,Alabama,204,11,US
2020-06-07,Hale,Alabama,210,11,US
2020-06-08,Hale,Alabama,212,11,US
2020-06-09,Hale,Alabama,213,11,US
2020-06-10,Hale,Alabama,220,11,US
2020-06-11,Hale,Alabama,224,11,US
2020-06-12,Hale,Alabama,229,14,US
2020-06-13,Hale,Alabama,235,14,US
2020-06-14,Hale,Alabama,243,14,US
2020-06-15,Hale,Alabama,243,15,US
2020-06-16,Hale,Alabama,243,15,US
2020-06-17,Hale,Alabama,254,15,US
2020-06-18,Hale,Alabama,260,15,US
2020-06-19,Hale,Alabama,261,16,US
2020-06-20,Hale,Alabama,262,18,US
2020-06-21,Hale,Alabama,265,18,US
2020-06-22,Hale,Alabama,267,18,US
2020-06-23,Hale,Alabama,270,18,US
2020-06-24,Hale,Alabama,273,19,US
2020-06-25,Hale,Alabama,276,19,US
2020-06-26,Hale,Alabama,279,19,US
2020-06-27,Hale,Alabama,280,20,US
2020-06-28,Hale,Alabama,284,20,US
2020-06-29,Hale,Alabama,291,20,US
2020-06-30,Hale,Alabama,297,20,US
2020-07-01,Hale,Alabama,301,21,US
2020-07-02,Hale,Alabama,315,21,US
2020-07-03,Hale,Alabama,319,21,US
2020-07-04,Hale,Alabama,320,21,US
2020-07-05,Hale,Alabama,323,21,US
2020-07-06,Hale,Alabama,323,21,US
2020-07-07,Hale,Alabama,325,21,US
2020-07-08,Hale,Alabama,345,22,US
2020-07-09,Hale,Alabama,349,22,US
2020-07-10,Hale,Alabama,354,23,US
2020-07-11,Hale,Alabama,360,23,US
2020-07-12,Hale,Alabama,369,23,US
2020-07-13,Hale,Alabama,370,23,US
2020-07-14,Hale,Alabama,381,23,US
2020-07-15,Hale,Alabama,390,23,US
2020-07-16,Hale,Alabama,395,23,US
2020-07-17,Hale,Alabama,399,23,US
2020-07-18,Hale,Alabama,405,23,US
2020-07-19,Hale,Alabama,409,23,US
2020-07-20,Hale,Alabama,411,23,US
2020-07-21,Hale,Alabama,412,22,US
2020-07-22,Hale,Alabama,414,22,US
2020-07-23,Hale,Alabama,419,22,US
2020-07-24,Hale,Alabama,430,22,US
2020-07-25,Hale,Alabama,431,22,US
2020-07-26,Hale,Alabama,444,22,US
2020-07-27,Hale,Alabama,446,23,US
2020-07-28,Hale,Alabama,448,23,US
2020-07-29,Hale,Alabama,454,25,US
2020-07-30,Hale,Alabama,461,25,US
2020-07-31,Hale,Alabama,463,25,US
