Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Lancaster,South Carolina,0,0,US
2020-01-23,Lancaster,South Carolina,0,0,US
2020-01-24,Lancaster,South Carolina,0,0,US
2020-01-25,Lancaster,South Carolina,0,0,US
2020-01-26,Lancaster,South Carolina,0,0,US
2020-01-27,Lancaster,South Carolina,0,0,US
2020-01-28,Lancaster,South Carolina,0,0,US
2020-01-29,Lancaster,South Carolina,0,0,US
2020-01-30,Lancaster,South Carolina,0,0,US
2020-01-31,Lancaster,South Carolina,0,0,US
2020-02-01,Lancaster,South Carolina,0,0,US
2020-02-02,Lancaster,South Carolina,0,0,US
2020-02-03,Lancaster,South Carolina,0,0,US
2020-02-04,Lancaster,South Carolina,0,0,US
2020-02-05,Lancaster,South Carolina,0,0,US
2020-02-06,Lancaster,South Carolina,0,0,US
2020-02-07,Lancaster,South Carolina,0,0,US
2020-02-08,Lancaster,South Carolina,0,0,US
2020-02-09,Lancaster,South Carolina,0,0,US
2020-02-10,Lancaster,South Carolina,0,0,US
2020-02-11,Lancaster,South Carolina,0,0,US
2020-02-12,Lancaster,South Carolina,0,0,US
2020-02-13,Lancaster,South Carolina,0,0,US
2020-02-14,Lancaster,South Carolina,0,0,US
2020-02-15,Lancaster,South Carolina,0,0,US
2020-02-16,Lancaster,South Carolina,0,0,US
2020-02-17,Lancaster,South Carolina,0,0,US
2020-02-18,Lancaster,South Carolina,0,0,US
2020-02-19,Lancaster,South Carolina,0,0,US
2020-02-20,Lancaster,South Carolina,0,0,US
2020-02-21,Lancaster,South Carolina,0,0,US
2020-02-22,Lancaster,South Carolina,0,0,US
2020-02-23,Lancaster,South Carolina,0,0,US
2020-02-24,Lancaster,South Carolina,0,0,US
2020-02-25,Lancaster,South Carolina,0,0,US
2020-02-26,Lancaster,South Carolina,0,0,US
2020-02-27,Lancaster,South Carolina,0,0,US
2020-02-28,Lancaster,South Carolina,0,0,US
2020-02-29,Lancaster,South Carolina,0,0,US
2020-03-01,Lancaster,South Carolina,0,0,US
2020-03-02,Lancaster,South Carolina,0,0,US
2020-03-03,Lancaster,South Carolina,0,0,US
2020-03-04,Lancaster,South Carolina,0,0,US
2020-03-05,Lancaster,South Carolina,0,0,US
2020-03-06,Lancaster,South Carolina,0,0,US
2020-03-07,Lancaster,South Carolina,0,0,US
2020-03-08,Lancaster,South Carolina,0,0,US
2020-03-09,Lancaster,South Carolina,0,0,US
2020-03-10,Lancaster,South Carolina,0,0,US
2020-03-11,Lancaster,South Carolina,1,0,US
2020-03-12,Lancaster,South Carolina,1,0,US
2020-03-13,Lancaster,South Carolina,1,0,US
2020-03-14,Lancaster,South Carolina,2,0,US
2020-03-15,Lancaster,South Carolina,2,0,US
2020-03-16,Lancaster,South Carolina,2,0,US
2020-03-17,Lancaster,South Carolina,2,0,US
2020-03-18,Lancaster,South Carolina,2,0,US
2020-03-19,Lancaster,South Carolina,3,0,US
2020-03-20,Lancaster,South Carolina,3,0,US
2020-03-21,Lancaster,South Carolina,3,0,US
2020-03-22,Lancaster,South Carolina,5,0,US
2020-03-23,Lancaster,South Carolina,7,0,US
2020-03-24,Lancaster,South Carolina,7,0,US
2020-03-25,Lancaster,South Carolina,6,0,US
2020-03-26,Lancaster,South Carolina,6,0,US
2020-03-27,Lancaster,South Carolina,8,0,US
2020-03-28,Lancaster,South Carolina,9,0,US
2020-03-29,Lancaster,South Carolina,13,0,US
2020-03-30,Lancaster,South Carolina,14,0,US
2020-03-31,Lancaster,South Carolina,15,0,US
2020-04-01,Lancaster,South Carolina,17,0,US
2020-04-02,Lancaster,South Carolina,26,0,US
2020-04-03,Lancaster,South Carolina,31,0,US
2020-04-04,Lancaster,South Carolina,39,0,US
2020-04-05,Lancaster,South Carolina,41,0,US
2020-04-06,Lancaster,South Carolina,43,0,US
2020-04-07,Lancaster,South Carolina,46,0,US
2020-04-08,Lancaster,South Carolina,46,0,US
2020-04-09,Lancaster,South Carolina,51,0,US
2020-04-10,Lancaster,South Carolina,61,0,US
2020-04-11,Lancaster,South Carolina,62,0,US
2020-04-12,Lancaster,South Carolina,65,0,US
2020-04-13,Lancaster,South Carolina,66,0,US
2020-04-14,Lancaster,South Carolina,67,1,US
2020-04-15,Lancaster,South Carolina,68,2,US
2020-04-16,Lancaster,South Carolina,71,2,US
2020-04-17,Lancaster,South Carolina,73,2,US
2020-04-18,Lancaster,South Carolina,73,2,US
2020-04-19,Lancaster,South Carolina,79,2,US
2020-04-20,Lancaster,South Carolina,79,3,US
2020-04-21,Lancaster,South Carolina,79,3,US
2020-04-22,Lancaster,South Carolina,80,3,US
2020-04-23,Lancaster,South Carolina,79,3,US
2020-04-24,Lancaster,South Carolina,80,3,US
2020-04-25,Lancaster,South Carolina,85,3,US
2020-04-26,Lancaster,South Carolina,87,3,US
2020-04-27,Lancaster,South Carolina,88,3,US
2020-04-28,Lancaster,South Carolina,90,4,US
2020-04-29,Lancaster,South Carolina,93,4,US
2020-04-30,Lancaster,South Carolina,96,4,US
2020-05-01,Lancaster,South Carolina,99,4,US
2020-05-02,Lancaster,South Carolina,100,4,US
2020-05-03,Lancaster,South Carolina,101,4,US
2020-05-04,Lancaster,South Carolina,99,4,US
2020-05-05,Lancaster,South Carolina,96,4,US
2020-05-06,Lancaster,South Carolina,99,4,US
2020-05-07,Lancaster,South Carolina,101,4,US
2020-05-08,Lancaster,South Carolina,103,4,US
2020-05-09,Lancaster,South Carolina,104,4,US
2020-05-10,Lancaster,South Carolina,110,4,US
2020-05-11,Lancaster,South Carolina,111,5,US
2020-05-12,Lancaster,South Carolina,115,5,US
2020-05-13,Lancaster,South Carolina,110,5,US
2020-05-14,Lancaster,South Carolina,108,5,US
2020-05-15,Lancaster,South Carolina,110,5,US
2020-05-16,Lancaster,South Carolina,109,5,US
2020-05-17,Lancaster,South Carolina,111,5,US
2020-05-18,Lancaster,South Carolina,111,5,US
2020-05-19,Lancaster,South Carolina,108,5,US
2020-05-20,Lancaster,South Carolina,108,5,US
2020-05-21,Lancaster,South Carolina,116,5,US
2020-05-22,Lancaster,South Carolina,120,5,US
2020-05-23,Lancaster,South Carolina,121,5,US
2020-05-24,Lancaster,South Carolina,121,5,US
2020-05-25,Lancaster,South Carolina,121,5,US
2020-05-26,Lancaster,South Carolina,122,5,US
2020-05-27,Lancaster,South Carolina,124,5,US
2020-05-28,Lancaster,South Carolina,126,5,US
2020-05-29,Lancaster,South Carolina,129,5,US
2020-05-30,Lancaster,South Carolina,130,5,US
2020-05-31,Lancaster,South Carolina,135,5,US
2020-06-01,Lancaster,South Carolina,140,5,US
2020-06-02,Lancaster,South Carolina,166,5,US
2020-06-03,Lancaster,South Carolina,166,6,US
2020-06-04,Lancaster,South Carolina,166,6,US
2020-06-05,Lancaster,South Carolina,189,6,US
2020-06-06,Lancaster,South Carolina,189,6,US
2020-06-07,Lancaster,South Carolina,201,6,US
2020-06-08,Lancaster,South Carolina,203,6,US
2020-06-09,Lancaster,South Carolina,214,6,US
2020-06-10,Lancaster,South Carolina,220,6,US
2020-06-11,Lancaster,South Carolina,232,6,US
2020-06-12,Lancaster,South Carolina,230,6,US
2020-06-13,Lancaster,South Carolina,239,6,US
2020-06-14,Lancaster,South Carolina,246,6,US
2020-06-15,Lancaster,South Carolina,248,6,US
2020-06-16,Lancaster,South Carolina,259,6,US
2020-06-17,Lancaster,South Carolina,270,7,US
2020-06-18,Lancaster,South Carolina,277,9,US
2020-06-19,Lancaster,South Carolina,298,10,US
2020-06-20,Lancaster,South Carolina,313,10,US
2020-06-21,Lancaster,South Carolina,322,10,US
2020-06-22,Lancaster,South Carolina,335,11,US
2020-06-23,Lancaster,South Carolina,344,10,US
2020-06-24,Lancaster,South Carolina,352,10,US
2020-06-25,Lancaster,South Carolina,383,11,US
2020-06-26,Lancaster,South Carolina,394,11,US
2020-06-27,Lancaster,South Carolina,412,12,US
2020-06-28,Lancaster,South Carolina,421,12,US
2020-06-29,Lancaster,South Carolina,447,12,US
2020-06-30,Lancaster,South Carolina,475,12,US
2020-07-01,Lancaster,South Carolina,493,13,US
2020-07-02,Lancaster,South Carolina,506,13,US
2020-07-03,Lancaster,South Carolina,519,13,US
2020-07-04,Lancaster,South Carolina,547,13,US
2020-07-05,Lancaster,South Carolina,555,14,US
2020-07-06,Lancaster,South Carolina,571,14,US
2020-07-07,Lancaster,South Carolina,574,14,US
2020-07-08,Lancaster,South Carolina,579,14,US
2020-07-09,Lancaster,South Carolina,594,14,US
2020-07-10,Lancaster,South Carolina,612,14,US
2020-07-11,Lancaster,South Carolina,634,15,US
2020-07-12,Lancaster,South Carolina,657,15,US
2020-07-13,Lancaster,South Carolina,659,15,US
2020-07-14,Lancaster,South Carolina,672,16,US
2020-07-15,Lancaster,South Carolina,684,17,US
2020-07-16,Lancaster,South Carolina,707,18,US
2020-07-17,Lancaster,South Carolina,728,18,US
2020-07-18,Lancaster,South Carolina,738,18,US
2020-07-19,Lancaster,South Carolina,762,18,US
2020-07-20,Lancaster,South Carolina,775,18,US
2020-07-21,Lancaster,South Carolina,797,18,US
2020-07-22,Lancaster,South Carolina,823,19,US
2020-07-23,Lancaster,South Carolina,842,19,US
2020-07-24,Lancaster,South Carolina,868,20,US
2020-07-25,Lancaster,South Carolina,892,20,US
2020-07-26,Lancaster,South Carolina,918,20,US
2020-07-27,Lancaster,South Carolina,925,20,US
2020-07-28,Lancaster,South Carolina,969,21,US
2020-07-29,Lancaster,South Carolina,984,21,US
2020-07-30,Lancaster,South Carolina,1003,21,US
2020-07-31,Lancaster,South Carolina,1018,21,US
2020-08-01,Lancaster,South Carolina,1039,21,US
2020-08-02,Lancaster,South Carolina,1063,21,US
2020-08-03,Lancaster,South Carolina,1085,21,US
2020-08-04,Lancaster,South Carolina,1101,22,US
2020-08-05,Lancaster,South Carolina,1109,23,US
2020-08-06,Lancaster,South Carolina,1138,23,US
2020-08-07,Lancaster,South Carolina,1161,23,US
2020-08-08,Lancaster,South Carolina,1181,23,US
2020-08-09,Lancaster,South Carolina,1209,25,US
2020-08-10,Lancaster,South Carolina,1227,26,US
2020-08-11,Lancaster,South Carolina,1247,26,US
2020-08-12,Lancaster,South Carolina,1265,26,US
2020-08-13,Lancaster,South Carolina,1297,27,US
2020-08-14,Lancaster,South Carolina,1322,27,US
2020-08-15,Lancaster,South Carolina,1353,27,US
2020-08-16,Lancaster,South Carolina,1375,27,US
2020-08-17,Lancaster,South Carolina,1392,27,US
2020-08-18,Lancaster,South Carolina,1405,27,US
2020-08-19,Lancaster,South Carolina,1418,27,US
2020-08-20,Lancaster,South Carolina,1450,27,US
2020-08-21,Lancaster,South Carolina,1477,28,US
2020-08-22,Lancaster,South Carolina,1517,30,US
2020-08-23,Lancaster,South Carolina,1537,31,US
2020-08-24,Lancaster,South Carolina,1554,31,US
2020-08-25,Lancaster,South Carolina,1563,31,US
2020-08-26,Lancaster,South Carolina,1568,35,US
2020-08-27,Lancaster,South Carolina,1582,35,US
2020-08-28,Lancaster,South Carolina,1606,35,US
2020-08-29,Lancaster,South Carolina,1628,39,US
2020-08-30,Lancaster,South Carolina,1639,39,US
2020-08-31,Lancaster,South Carolina,1658,39,US
2020-09-01,Lancaster,South Carolina,1676,40,US
2020-09-02,Lancaster,South Carolina,1685,40,US
2020-09-03,Lancaster,South Carolina,1699,41,US
2020-09-04,Lancaster,South Carolina,1728,43,US
2020-09-05,Lancaster,South Carolina,1747,43,US
2020-09-06,Lancaster,South Carolina,1767,43,US
2020-09-07,Lancaster,South Carolina,1788,43,US
2020-09-08,Lancaster,South Carolina,1796,43,US
2020-09-09,Lancaster,South Carolina,1802,43,US
2020-09-10,Lancaster,South Carolina,1800,42,US
2020-09-11,Lancaster,South Carolina,1837,42,US
2020-09-12,Lancaster,South Carolina,1875,42,US
2020-09-13,Lancaster,South Carolina,1904,44,US
2020-09-14,Lancaster,South Carolina,1935,44,US
2020-09-15,Lancaster,South Carolina,1961,45,US
2020-09-16,Lancaster,South Carolina,1972,45,US
2020-09-17,Lancaster,South Carolina,2000,45,US
2020-09-18,Lancaster,South Carolina,2014,45,US
2020-09-19,Lancaster,South Carolina,2034,45,US
2020-09-20,Lancaster,South Carolina,2039,46,US
2020-09-21,Lancaster,South Carolina,2059,47,US
2020-09-22,Lancaster,South Carolina,2072,47,US
2020-09-23,Lancaster,South Carolina,2086,48,US
2020-09-24,Lancaster,South Carolina,2111,49,US
2020-09-25,Lancaster,South Carolina,2134,52,US
2020-09-26,Lancaster,South Carolina,2155,52,US
2020-09-27,Lancaster,South Carolina,2167,52,US
2020-09-28,Lancaster,South Carolina,2168,52,US
2020-09-29,Lancaster,South Carolina,2178,52,US
2020-09-30,Lancaster,South Carolina,2182,52,US
2020-10-01,Lancaster,South Carolina,2185,53,US
2020-10-02,Lancaster,South Carolina,2197,53,US
2020-10-03,Lancaster,South Carolina,2232,53,US
2020-10-04,Lancaster,South Carolina,2242,53,US
2020-10-05,Lancaster,South Carolina,2250,53,US
2020-10-06,Lancaster,South Carolina,2258,53,US
2020-10-07,Lancaster,South Carolina,2268,55,US
2020-10-08,Lancaster,South Carolina,2288,56,US
2020-10-09,Lancaster,South Carolina,2304,56,US
2020-10-10,Lancaster,South Carolina,2316,56,US
2020-10-11,Lancaster,South Carolina,2330,56,US
2020-10-12,Lancaster,South Carolina,2342,56,US
2020-10-13,Lancaster,South Carolina,2355,56,US
2020-10-14,Lancaster,South Carolina,2367,56,US
2020-10-15,Lancaster,South Carolina,2390,56,US
2020-10-16,Lancaster,South Carolina,2406,56,US
2020-10-17,Lancaster,South Carolina,2422,56,US
2020-10-18,Lancaster,South Carolina,2436,56,US
2020-10-19,Lancaster,South Carolina,2438,57,US
2020-10-20,Lancaster,South Carolina,2450,57,US
